indexDados;codigNomeMateria;codigoTurma;ano;semestre;professor;cargahoraria;horario;vagasOfertadas;vagasOcupadas;local;horarioSeparado;percDisciplina;salaSeparada;predio;lotacao;percOcupacaoReal;percOcupacaoTotal
0;FGA0003 - COMPILADORES 1;1;2022;2;EDSON ALVES DA COSTA JUNIOR;60h;46T23;85;84;FGA - SALA S-4 e I-3;;;S4;;;;
1;FGA0003 - COMPILADORES 1;1;2022;2;EDSON ALVES DA COSTA JUNIOR;60h;46T23;85;84;FGA - SALA S-4 e I-3;;;I3;;;;
2;FGA0006 - FUNDAMENTOS DE EQUAÇÕES DIFERENCIAIS PARA ENGENHARIA;1;2022;2;VINICIUS DE CARVALHO RISPOLI;60h;35M34;60;24;FGA - SALA I3;;;I3;;;;
3;FGA0008 - SISTEMAS AEROESPACIAIS;1;2022;2;RONNE TOLEDO;60h;24M34;30;23;FGA - CONTAINER Nº 17;;;Cont-17;;;;
4;FGA0013 - ANATOMIA E FISIOLOGIA HUMANA;1;2022;2;SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;60h;24M12;50;41;FGA - SALA I3;;;I3;;;;
5;FGA0015 - PROCESSAMENTO DIGITAL DE IMAGENS;1;2022;2;MARCUS VINICIUS CHAFFIM COSTA;60h;46M34;40;5;FGA - SALA I7;;;I7;;;;
6;FGA0016 - TÓPICOS ESPECIAL EM INSTRUMENTAÇÃO BIOMÉDICA;1;2022;2;SUELIA DE SIQUEIRA RODRIGUES FLEURY ROSA;60h;24M34;20;19;FGA - LDTEA SALA 2;;;LD.Sala-2;;;;
7;FGA0017 - PROJETOS DE CIRCUITOS INTEGRADOS 1;1;2022;2;WELLINGTON AVELINO DO AMARAL;60h;35T23;45;37;FGA - SALA LAB SS;;;Lab.SS;;;;
8;FGA0023 - DINÂMICA DOS MECANISMOS;1;2022;2;RITA DE CASSIA SILVA;60h;35M12;40;6;FGA - SALA I7 E I4;;;I7;;;;
9;FGA0023 - DINÂMICA DOS MECANISMOS;1;2022;2;RITA DE CASSIA SILVA;60h;35M12;40;6;FGA - SALA I7 E I4;;;I4;;;;
10;FGA0025 - SISTEMAS DE ENERGIA SOLAR E EÓLICA;1;2022;2;ALEX REIS;30h;46T23;45;13;FGA - SALA I5;;;I5;;;;
11;FGA0025 - SISTEMAS DE ENERGIA SOLAR E EÓLICA;1;2022;2;JORGE ANDRES CORMANE ANGARITA;30h;46T23;45;13;FGA - SALA I5;;;I5;;;;
12;FGA0030 - ESTRUTURAS DE DADOS 2;1;2022;2;JOHN LENON CARDOSO GARDENGHI;60h;26T45;132;132;FGA - SALA S4 E S1;;;S4;;;;
13;FGA0030 - ESTRUTURAS DE DADOS 2;1;2022;2;JOHN LENON CARDOSO GARDENGHI;60h;26T45;132;132;FGA - SALA S4 E S1;;;S1;;;;
14;FGA0034 - TÓPICOS ESPECIAIS EM MATEMÁTICA APLICADA;1;2022;2;RICARDO RAMOS FRAGELLI;60h;2T2345;15;10;FGA - SALA MULTIUSO;;;Multi.;;;;
15;FGA0037 - TÓPICOS ESPECIAIS EM ENGENHARIA AEROESPACIAL;1;2022;2;Fernando Merege;60h;46T23;25;9;FGA - LAB TERMODINÂMICA;;;Lab.Termodin.;;;;
16;FGA0038 - AERODINÂMICA DE SISTEMAS AEROESPACIAIS;1;2022;2;OLEXIY SHYNKARENKO;75h;35T45 6T4;30;16;FGA - SALA I4;;;I4;;;;
17;FGA0039 - MECÂNICA DE ESTRUTURAS AEROESPACIAIS;1;2022;2;ARTEM ANDRIANOV;75h;2M5 35M12;49;30;FGA - SALA I10 / I4 / S7;;;I10;;;;
18;FGA0039 - MECÂNICA DE ESTRUTURAS AEROESPACIAIS;1;2022;2;ARTEM ANDRIANOV;75h;2M5 35M12;49;30;FGA - SALA I10 / I4 / S7;;;I4;;;;
19;FGA0039 - MECÂNICA DE ESTRUTURAS AEROESPACIAIS;1;2022;2;ARTEM ANDRIANOV;75h;2M5 35M12;49;30;FGA - SALA I10 / I4 / S7;;;S7;;;;
20;FGA0040 - SISTEMAS DE CONTROLE AUTOMOTIVO;1;2022;2;RAFAEL RODRIGUES DA SILVA;30h;24M34;16;7;FGA - SALA LAB SHP;;;Cont-8-SHP;;;;
21;FGA0040 - SISTEMAS DE CONTROLE AUTOMOTIVO;1;2022;2;ANDRE MURILO DE ALMEIDA PINTO;30h;24M34;16;7;FGA - SALA LAB SHP;;;Cont-8-SHP;;;;
22;FGA0043 - DINÂMICA DOS GASES PARA SISTEMAS AEROESPACIAIS;1;2022;2;OLEXIY SHYNKARENKO;60h;35T23;48;44;FGA - SALA S5;;;S5;;;;
23;FGA0045 - MECÂNICA DO VÔO;1;2022;2;POLLIANA CANDIDA OLIVEIRA MARTINS;60h;46M34;45;29;FGA - SALA S8;;;S8;;;;
